N	eps_F	eps_C	eps_E
8.00000000000000000000	371.49474836905710617430	5.82247929916836426401	0.85625282784951350923
6.00000000000000000000	66.07146558055687535216	2.33929164242535447826	0.22040436518534903265
4.50000000000000000000	18.78158473308392828471	1.08496369148747029421	0.06206085625122136767
3.37500000000000000000	7.36275074987046362907	0.54695334079558366458	0.01838690056305723047
2.53125000000000000000	3.57055124176160898486	0.28918317412454258575	0.00560625530295642219
1.89843750000000000000	1.98954055079257186023	0.15708158924616377750	0.00173726813641080793
1.42382812500000000000	1.21444439224423383905	0.08663685340606366858	0.00054327403220449412
1.06787109375000000000	0.78783707454235563095	0.04819643268769820132	0.00017076492837828010
0.80090332031250000000	0.53270960671112788098	0.02694204056647047166	0.00005383092628362871
0.60067749023437500000	0.37070840796840143216	0.01510184482509456007	0.00001699692139926016
0.45050811767578125000	0.26326086654137148546	0.00847804514856320343	0.00000537162418135819
0.33788108825683593750	0.18969009013660126373	0.00476361071138268859	0.00000169849752811013
0.25341081619262695312	0.13812217316946109880	0.00267785871528172618	0.00000053722010711971
0.19005811214447021484	0.10134668509107550016	0.00150576664178077844	0.00000016994882042631
0.14254358410835266113	0.07478244046361916253	0.00084682643503166061	0.00000005377109773998
0.10690768808126449585	0.05541073938585906744	0.00047628694042159940	0.00000001701693347464
0.08018076606094837189	0.04118370292251351955	0.00026789465622521362	0.00000000538861217475
0.06013557454571127892	0.03067967304788132843	0.00015068544328612166	0.00000000170950443926
0.04510168090928345919	0.02289372479839981572	0.00008475888268230807	0.00000000054544494978
0.03382626068196259439	0.01710545664757027670	0.00004767633823022082	0.00000000017712878671
0.02536969551147194579	0.01279280181074280397	0.00002681776953069415	0.00000000006059457496
0.01902727163360395934	0.00957426344081767182	0.00001508493935154766	0.00000000002370909514
0.01427045372520296951	0.00716928926549941989	0.00000848525867562255	0.00000000001205386054
0.01070284029390222713	0.00537056313229064986	0.00000477294977697539	0.00000000000834337180
0.00802713022042667035	0.00402432582586761088	0.00000268477964522495	0.00000000000719356466
0.00602034766532000276	0.00301622369314535161	0.00000151018511332151	0.00000000000685211866
0.00451526074899000207	0.00226103213687521348	0.00000084947604709274	0.00000000000666505853
0.00338644556174250155	0.00169513572903443543	0.00000047782733025182	0.00000000000661686400
0.00253983417130687616	0.00127099288823970692	0.00000026877487395355	0.00000000000662764651
0.00190487562848015712	0.00095304285412717770	0.00000015118294010853	0.00000000000657749152
0.00142865672136011784	0.00071466865220698754	0.00000008503754766225	0.00000000000698739009
0.00107149254102008838	0.00053593766438384796	0.00000004783063989167	0.00000000000675867028
0.00080361940576506629	0.00040191735187917641	0.00000002690184148035	0.00000000000619961373
0.00060271455432379971	0.00030141782356970647	0.00000001512947195622	0.00000000000610926940
