N	eps_F	eps_C	eps_E
8.00000000000000000000	1.12017237026928140331	1.18920062382698210612	0.33073484084055160270
6.00000000000000000000	1.05787396402440969645	0.95295999731337766026	0.12901779058082571416
4.50000000000000000000	1.67543626718183258362	0.65418969027203499600	0.04591591764372746076
3.37500000000000000000	2.06400894205425666783	0.41143830999385189173	0.01552018575814733369
2.53125000000000000000	1.99764919983783584279	0.24638381013201554603	0.00509642079108143554
1.89843750000000000000	1.68697673707671969012	0.14354745237885510600	0.00164654988720804984
1.42382812500000000000	1.32613264106380723817	0.08235535363757942595	0.00052712932938250433
1.06787109375000000000	1.00559176571929964616	0.04684181806373800133	0.00016789158035165043
0.80090332031250000000	0.74980034359074976269	0.02651343991232203712	0.00005331953040863281
0.60067749023437500000	0.55532909003671437898	0.01496623369234127178	0.00001690589866428294
0.45050811767578125000	0.41063849904211230379	0.00843513702211187884	0.00000535541863310462
0.33788108825683593750	0.30389075995480868686	0.00475003432447605387	0.00000169560781889897
0.25341081619262695312	0.22529015133833454887	0.00267356306696754469	0.00000053670032973908
0.19005811214447021484	0.16735332078955161839	0.00150440747644384979	0.00000016985084064860
0.14254358410835266113	0.12455042622473339042	0.00084639639118459840	0.00000005374818455999
0.10690768808126449585	0.09284671393492281710	0.00047615087641449306	0.00000001700738689809
0.08018076606094837189	0.06930677461251710803	0.00026785160927377872	0.00000000538144797207
0.06013557454571127892	0.05179132309022087266	0.00015067182751328775	0.00000000170275829709
0.04510168090928345919	0.03873559284485962595	0.00008475457912075586	0.00000000053876833147
0.03382626068196259439	0.02899027784949658598	0.00004767498109996532	0.00000000017048319941
0.02536969551147194579	0.02170785745962824920	0.00002681734467769826	0.00000000005392555121
0.01902727163360395934	0.01626116157811900720	0.00001508480947648561	0.00000000001705636653
0.01427045372520296951	0.01218471837993816663	0.00000848522212543021	0.00000000000539889154
0.01070284029390222713	0.00913224266333173204	0.00000477294277161285	0.00000000000174394019
0.00802713022042667035	0.00684563087744966166	0.00000268478197157466	0.00000000000526975139
0.00602034766532000276	0.00513222162615971107	0.00000151018921683174	0.00000000000530899772
0.00451526074899000207	0.00384803866268420246	0.00000084947950238098	0.00000000000573807629
0.00338644556174250155	0.00288539402895566632	0.00000047783311986345	0.00000000001046429892
0.00253983417130687616	0.00216368805359184362	0.00000026878370107841	0.00000000001287235714
0.00190487562848015712	0.00162256483240727219	0.00000015119543706516	0.00000000001376449854
0.00142865672136011784	0.00121681039509400550	0.00000008503514801512	0.00000000000909637801
0.00107149254102008838	0.00091254408470683535	0.00000004782834230246	0.00000000000923275352
0.00080361940576506629	0.00068437221956604182	0.00000002691732485117	0.00000000000843313699
0.00060271455432379971	0.00051325899755062126	0.00000001512106190358	0.00000000004811490211
