N	eps_F	eps_C	eps_E
8.00000000000000000000	0.78439058001444772472	1.18920062382698210612	0.33073484084055149168
6.00000000000000000000	1.04230685556039071038	0.95295999731337754923	0.12901779058082579743
4.50000000000000000000	1.04446379454361970573	0.65418969027203499600	0.04591591764372728729
3.37500000000000000000	0.69319099217577306860	0.41143830999385189173	0.01552018575814741001
2.53125000000000000000	0.31203762286005087834	0.24638381013201565706	0.00509642079108136702
1.89843750000000000000	0.05420700724749073773	0.14354745237885510600	0.00164654988720814438
1.42382812500000000000	0.07968394551926710756	0.08235535363757945371	0.00052712932938262251
1.06787109375000000000	0.13195907677073370756	0.04684181806373804990	0.00016789158035219239
0.80090332031250000000	0.14014234510029607850	0.02651343991232216549	0.00005331953040817154
0.60067749023437500000	0.12805618837832855039	0.01496623369234151811	0.00001690589866455032
0.45050811767578125000	0.10871959413622810098	0.00843513702211181639	0.00000535541863211853
0.33788108825683593750	0.08852844369115785150	0.00475003432447555773	0.00000169560781876207
0.25341081619262695312	0.07025363687694433090	0.00267356306696805209	0.00000053670032916194
0.19005811214447021484	0.05482451943237788561	0.00150440747644334564	0.00000016985084096086
0.14254358410835266113	0.04230264993404395796	0.00084639639118585706	0.00000005374818697369
0.10690768808126449585	0.03238585376991028747	0.00047615087641401119	0.00000001700738748436
0.08018076606094837189	0.02465680266342980959	0.00026785160927325321	0.00000000538144262320
0.06013557454571127892	0.01869788120715220811	0.00015067182751116385	0.00000000170275927888
0.04510168090928345919	0.01413828133982431880	0.00008475457911552159	0.00000000053876910920
0.03382626068196259439	0.01066806890581445746	0.00004767498110233116	0.00000000017046871622
0.02536969551147194579	0.00803714344801751031	0.00002681734467639332	0.00000000005393996426
0.01902727163360395934	0.00604811259612566057	0.00001508480947493326	0.00000000001705831068
0.01427045372520296951	0.00454745810280480448	0.00000848522212981499	0.00000000000541026443
0.01070284029390222713	0.00341698287146949449	0.00000477294275887805	0.00000000000170873371
0.00802713022042667035	0.00256632758106768982	0.00000268478198318417	0.00000000000054688451
0.00602034766532000276	0.00192676379942408656	0.00000151019040511127	0.00000000000014618770
0.00451526074899000207	0.00144620740367812904	0.00000084948226949675	0.00000000000001781168
0.00338644556174250155	0.00108529347122771091	0.00000047783381091239	0.00000000000002256146
0.00253983417130687616	0.00081432881926780953	0.00000026878159431311	0.00000000000008562800
0.00190487562848015712	0.00061094834431275587	0.00000015118966496739	0.00000000000017231150
0.00142865672136011784	0.00045832471116022730	0.00000008504414086050	0.00000000000019645622
0.00107149254102008838	0.00034380734200235933	0.00000004783742928454	0.00000000000022785755
0.00080361940576506629	0.00025789139521822300	0.00000002690836625725	0.00000000000017587384
0.00060271455432379971	0.00019343873224204780	0.00000001513595741330	0.00000000000011386281
0.00045203591574284976	0.00014509040338077245	0.00000000851370601663	0.00000000000082158017
0.00033902693680713732	0.00010882418876481713	0.00000000478884728060	0.00000000000025556461
0.00025427020260535298	0.00008162173373220890	0.00000000269406034167	0.00000000000041494614
0.00019070265195401473	0.00006121832101982498	0.00000000151573427745	0.00000000000093715818
0.00014302698896551106	0.00004591487733953341	0.00000000085313006567	0.00000000000119615318
0.00010727024172413330	0.00003443679732856895	0.00000000047970861715	0.00000000000347050664
0.00008045268129309997	0.00002582795883639806	0.00000000027063157002	0.00000000000348528374
0.00006033951096982498	0.00001937116891044262	0.00000000015084407249	0.00000000000036731640
0.00004525463322736874	0.00001452849515170453	0.00000000008212780343	0.00000000000404364688
0.00003394097492052656	0.00001089643395282997	0.00000000004839644209	0.00000000000584632071
0.00002545573119039492	0.00000817236545880095	0.00000000002016361194	0.00000000000403757772
0.00001909179839279619	0.00000612929400376429	0.00000000001159936100	0.00000000000574486011
0.00001431884879459714	0.00000459698263785396	0.00000000000758051852	0.00000000000366920582
0.00001073913659594786	0.00000344774450606768	0.00000000000402438388	0.00000000000307033760
0.00000805435244696089	0.00000258581949034401	0.00000000000784742983	0.00000000002807133760
0.00000604076433522067	0.00000193934637896183	0.00000000002282969040	0.00000000001135448340
0.00000453057325141550	0.00000145453113227696	0.00000000002660827312	0.00000000001307390412
0.00000339792993856163	0.00000109086388004706	0.00000000001873801795	0.00000000003233835613
0.00000254844745392122	0.00000081818786245528	0.00000000000469581820	0.00000000006338978548
0.00000191133559044091	0.00000061361181861626	0.00000000006172604275	0.00000000007093903462
0.00000143350169283069	0.00000046031065275838	0.00000000005717667613	0.00000000023679742869
0.00000107512626962301	0.00000034512577071742	0.00000000000929954343	0.00000000033559129006
0.00000080634470221726	0.00000025875500322794	0.00000000015017118685	0.00000000007688061482
0.00000060475852666295	0.00000019399055961421	0.00000000013446854283	0.00000000032508055248
0.00000045356889499721	0.00000014538086132723	0.00000000011338400113	0.00000000033071471630
0.00000034017667124791	0.00000010917204971117	0.00000000010216317129	0.00000000022159958084
0.00000025513250343593	0.00000008157909910285	0.00000000014288000915	0.00000000069241673992
0.00000019134937757695	0.00000006219876444279	0.00000000033865278779	0.00000000084869640900
0.00000014351203318271	0.00000004578169676012	0.00000000093490862827	0.00000000053927522476
0.00000010763402488703	0.00000003339226444993	0.00000000055859271599	0.00000000286584131682
0.00000008072551866527	0.00000002627086213119	0.00000000007007140796	0.00000000090355004641
0.00000006054413899896	0.00000001949967092840	0.00000000036668005797	0.00000000635680540005
0.00000004540810424922	0.00000001192422239951	0.00000000067858854419	0.00000000439951314219
0.00000003405607818691	0.00000001247753744912	0.00000000450601946044	0.00000000329534751960
0.00000002554205864018	0.00000000804975704087	0.00000000184758564273	0.00000000662375483429
0.00000001915654398014	0.00000000386789443245	0.00000000299594269990	0.00000000327713144981
0.00000001436740798510	0.00000000170792229082	0.00000000329170430564	0.00000001537954716075
0.00000001077555598883	0.00000000310188287065	0.00000000128045057757	0.00000002402314688949
0.00000000808166699162	0.00000000681068022226	0.00000000559901188293	0.00000003627335309149
0.00000000606125024372	0.00000000370179445923	0.00000000233069602664	0.00000001444737968387
0.00000000454593768279	0.00000001406829042724	0.00000002369891654781	0.00000007862788231984
0.00000000340945326209	0.00000002789028505125	0.00000003686560631792	0.00000000721240469214
0.00000000255708994657	0.00000000762180533586	0.00000002215736562741	0.00000001808566521728
0.00000000191781745993	0.00000001499521546529	0.00000002228464590446	0.00000006147513227414
