N	eps_T	eps_s	eps_Q
2	2020.52034717500941951585	1347.34689811667294634390	590.52682752028340473771
4	477.21988448983364605738	1209199576155870.25000000000000000000	620.11586968221854476724
6	591.88941039067390192940	559.07950612470870055404	312.86004906153175397776
8	1.17798724413391675547	144086789009448.65625000000000000000	33.86260152890463359654
10	214.95505325463568624400	84699719562531.75000000000000000000	492.70230126299924222621
12	38.87598685203996495829	55906353522184.19531250000000000000	211.72033007385468295070
14	237.75369915285267552463	39709386859801.10937500000000000000	152.47445536662007725681
16	546.65286997172268002032	241839915230610.46875000000000000000	335.23264156340331965112
18	122.12678289141926768480	76282032058464.23437500000000000000	146.66126083082050968187
20	46.47534432242578361638	251302099804855.78125000000000000000	312.71593084522436356565
22	351.49197494577003908489	254115794764922.56250000000000000000	209.93703434055052525764
24	139.67172708808334391506	1331259677644551.75000000000000000000	248.22772179358784683245
26	758.16682487052310079889	778.27559585556173260557	120.73942409710036827164
28	31.24926636020608583522	9066654763654.63085937500000000000	655.46953412262587335135
30	197.63635289860599186795	1332029127314012.50000000000000000000	222.15469178185517762358
32	214.19405798457137279911	71074270850528.67187500000000000000	99.33453495922127274298
34	153.31914102414029343890	89126254126592.85937500000000000000	229.26879275683606351777
36	50.63758663151721606255	262175557168799.56250000000000000000	90.32785067194969030879
38	20.00374029053145719104	4817818757487.73925781250000000000	270.47411316258217084396
40	236.84685854460025211665	113175491695587.25000000000000000000	138.41612014950274556213
42	140.97438577678198612375	142229808199681.75000000000000000000	73.09697855287333823071
44	177.63172913464552493679	50519440141396.96093750000000000000	106.61704027917318171603
46	268.47794637456632926842	39053470176622.45312500000000000000	113.79518985496393668200
48	67.71991825229055450563	52707704684147.83593750000000000000	627.47383547337540221633
50	169.74075222599489620734	144014532140944.87500000000000000000	52.95670282898134928473
52	61.27840211726378072399	116538465109283.68750000000000000000	154.53712225218973230767
54	23.59568782183761115334	17407266556442.17968750000000000000	95.08131825677789095153
56	74.10611139890784215822	24472472783266.21093750000000000000	351.87094427016717190781
58	55.49826197732319599254	264976895588192.96875000000000000000	15.97903970199199363833
60	244.48459373370923231050	5719287241782.17187500000000000000	29.50814809113510861494
62	109.65756776303712172194	98703916766640.79687500000000000000	13.32881591156842482349
